Question,Choice A,Choice B,Choice C,Choice D,Answer
What is the name for the Jewish New Year?,A) Hanukkah,B) Yom Kippur,C) Kwanza,D) Rosh Hashanah,D) Rosh Hashanah
How many blue stripes are there on the U.S. flag?,A) 6,B) 7,C) 13,D) 0,D) 0
Which one of these characters is not friends with Harry Potter?,A) Ron Weasley,B) Neville Longbottom,C) Draco Malfoy,D) Hermione Granger,C) Draco Malfoy
What is the color of Donald Duck's bowtie?,A) Red,B) Yellow,C) Blue,D) White,A) Red
What was the name of the band Lionel Richie was a part of?,A) King Harvest,B) Spectrums,C) Commodores,D) The Marshall Tucker Band,C) Commodores
Which animal does not appear in the Chinese zodiac?,A) Dragon,B) Rabbit,C) Dog,D) Hummingbird,D) Hummingbird
Which country held the 2016 Summer Olympics?,A) China,B) Ireland,C) Brazil,D) Italy,C) Brazil
Which planet is the hottest?,A) Venus,B) Saturn,C) Mercury,D) Mars,A) Venus
Who was the only U.SPresident to resign?,A) Herbert Hoover,B) Richard Nixon,C) George WBush,D) Barack Obama,B) Richard Nixon
What does the 'D' in 'D-Day' stand for?,A) Dooms,B) Dark,C) Denmark,D) Dunkirk,D) Dunkirk
In which city can you find the Liberty Bell?,"A) Washington, D.C.",B) Boston,C) Philadelphia,D) Manhattan,C) Philadelphia
"In Pirates of the Caribbean, what was the name of Captain Jack Sparrow's ship?",A) The Marauder,B) The Black Pearl,C) The Black Python,D) The Slytherin,B) The Black Pearl
"According to Forrest Gump, life was like",A) A bag of lemons,B) A handful of roses,C) A lollipop,D) A box of chocolates,D) A box of chocolates
Linda and Bob from Bob's Burgers have 3 kidsWhich one of these characters is not one of them?,A) Louise,B) Gene,C) Jimmy,D) Tina,C) Jimmy
"The British band One Direction (rip) was made up of Harry, Louis, Niall, Zayn, and",A) Paul,B) Callum,C) Kevin,D) Liam,D) Liam
What is the rarest blood type?,A) O,B) A,C) B,D) AB-Negative,D) AB-Negative
Holly Golightly is a character in which film?,A) Breakfast at Tiffany's,B) Pretty In Pink,C) Funny Face,D) Singing In The Rain,A) Breakfast at Tiffanys
"In The Wizard of Oz, the Tin Man wanted to see the Wizard about getting",A) A brain,B) An oil can,C) A dog,D) A heart,D) A heart
Which U.S. state is known as the sunflower state?,A) Florida,B) California,C) Maine,D) Kansas,D) Kansas
Which one of these characters aren't a part of the Friends group?,A) Rachel,B) Joey,C) Gunther,D) Monica,C) Gunther
How many bones are there in the human body?,A) 206,B) 205,C) 201,D) 209,A) 206
Which famous singer released a song called 'Adore You'?,A) Harry Styles,B) Dua Lipa,C) Halsey,D) Shawn Mendes,A) Harry Styles
Fe is the chemical symbol for,A) Zinc,B) Hydrogen,C) Fluorine,D) Iron,D) Iron
How old do you have to be to enter in the hunger games?,A) 12,B) 11,C) 10,D) 15,A) 12
What language is the most spoken worldwide?,A) Chinese,B) Spanish,C) Arabic,D) English,A) Chinese
What year did Barbie come out?,A) 1958,B) 1959,C) 1956,D) 1961,B) 1959
What is Shakespeare's shortest tragedy?,A) Macbeth,B) Hamlet,C) Romeo & Juliet,D) Othello,A) Macbeth
What is the #1 cookie in the U.S.?,A) Chips Ahoy!,B) Milano,C) Girl Scout Thin Mints,D) Oreo,D) Oreo
How many hearts does an octopus have?,A) 1,B) 2,C) 3,D) 4,C) 3
Who wrote The Scarlett Letter?,A) Shakespeare,B) Stephen King,C) Nathanial Hawthorne,D) Ernest Hemingway,C) Nathanial Hawthorne
